127.0.0.1, 2017-05-22 17:56:42, POST, /admin/default/index, HTTP/1.1, 200, 8.082214
127.0.0.1, 2017-05-22 17:56:42, GET, /admin/default/site, HTTP/1.1, 303, 2.938282
127.0.0.1, 2017-05-22 17:56:42, GET, /admin/default/site, HTTP/1.1, 303, 0.774057
127.0.0.1, 2017-05-22 17:56:42, GET, /admin/default/site, HTTP/1.1, 303, 0.417453
127.0.0.1, 2017-05-22 17:56:42, GET, /admin/default/site, HTTP/1.1, 303, 1.000069
127.0.0.1, 2017-05-22 17:56:42, GET, /admin/default/index, HTTP/1.1, 200, 0.030811
127.0.0.1, 2017-05-22 17:56:43, GET, /favicon.ico, HTTP/1.1, 400, 0.000310
127.0.0.1, 2017-05-22 17:56:50, GET, /admin/default/site, HTTP/1.1, 303, 0.006153
127.0.0.1, 2017-05-22 17:56:50, GET, /admin/default/index, HTTP/1.1, 200, 0.037870
127.0.0.1, 2017-05-22 17:56:50, GET, /favicon.ico, HTTP/1.1, 400, 0.000278
127.0.0.1, 2017-05-22 17:57:09, POST, /admin/default/index, HTTP/1.1, 200, 16.078241
127.0.0.1, 2017-05-22 17:57:10, GET, /favicon.ico, HTTP/1.1, 400, 0.000302
127.0.0.1, 2017-05-22 17:57:24, GET, /welcome/default/user/reset_password, HTTP/1.1, 303, 0.016660
127.0.0.1, 2017-05-22 17:57:24, GET, /welcome/default/user/reset_password, HTTP/1.1, 200, 0.035799
127.0.0.1, 2017-05-22 17:57:30, POST, /welcome/default/user/reset_password, HTTP/1.1, 303, 0.118591
127.0.0.1, 2017-05-22 17:57:30, GET, /welcome/default/index, HTTP/1.1, 200, 0.029653
127.0.0.1, 2017-05-22 17:57:34, GET, /welcome/default/index, HTTP/1.1, 200, 0.030424
127.0.0.1, 2017-05-22 17:57:36, GET, /admin/default/site, HTTP/1.1, 303, 0.013464
127.0.0.1, 2017-05-22 17:58:08, GET, /admin/default/index, HTTP/1.1, 403, 32.057405
127.0.0.1, 2017-05-22 17:58:08, GET, /favicon.ico, HTTP/1.1, 400, 0.000237
127.0.0.1, 2017-05-22 17:58:23, GET, /welcome/default/index, HTTP/1.1, 200, 0.022903
127.0.0.1, 2017-05-22 17:58:40, GET, /, HTTP/1.1, 303, 0.000600
127.0.0.1, 2017-05-22 17:58:40, GET, /welcome/default/index, HTTP/1.1, 200, 0.080560
127.0.0.1, 2017-05-22 17:58:43, GET, /admin/default/site, HTTP/1.1, 303, 0.058715
127.0.0.1, 2017-05-22 17:59:15, GET, /admin/default/index, HTTP/1.1, 403, 32.037344
127.0.0.1, 2017-05-22 17:59:26, GET, /, HTTP/1.1, 303, 0.001026
127.0.0.1, 2017-05-22 17:59:26, GET, /welcome/default/index, HTTP/1.1, 200, 0.082146
127.0.0.1, 2017-05-22 17:59:45, GET, /, HTTP/1.1, 303, 0.000545
127.0.0.1, 2017-05-22 17:59:45, GET, /welcome/default/index, HTTP/1.1, 200, 0.088823
192.168.10.38, 2017-05-22 17:59:48, GET, /, HTTP/1.1, 303, 0.000937
192.168.10.38, 2017-05-22 17:59:48, GET, /welcome/default/index, HTTP/1.1, 200, 0.034892
192.168.10.38, 2017-05-22 17:59:51, GET, /welcome/default/user/profile, HTTP/1.1, 200, 0.042529
192.168.10.38, 2017-05-22 17:59:56, GET, /admin/default/site, HTTP/1.1, 200, 0.097522
192.168.10.38, 2017-05-22 17:59:56, GET, /favicon.ico, HTTP/1.1, 400, 0.000251
192.168.10.38, 2017-05-22 17:59:58, GET, /welcome/default/user/profile, HTTP/1.1, 200, 0.033080
192.168.10.38, 2017-05-22 18:00:01, GET, /welcome/default/index, HTTP/1.1, 200, 0.024077
192.168.10.38, 2017-05-22 18:00:01, GET, /admin/default/index, HTTP/1.1, 200, 0.004943
192.168.10.38, 2017-05-22 18:00:02, GET, /favicon.ico, HTTP/1.1, 400, 0.000340
192.168.10.38, 2017-05-22 18:00:04, GET, /welcome/default/index, HTTP/1.1, 200, 0.037520
192.168.10.38, 2017-05-22 18:00:10, GET, /welcome/default/index, HTTP/1.1, 200, 0.029600
192.168.10.38, 2017-05-22 18:00:15, GET, /admin/default/peek/welcome/controllers/default.py, HTTP/1.1, 200, 0.007667
192.168.10.38, 2017-05-22 18:00:15, GET, /favicon.ico, HTTP/1.1, 400, 0.000232
192.168.10.38, 2017-05-22 18:00:18, GET, /welcome/default/index, HTTP/1.1, 200, 0.024458
::1, 2017-05-22 18:00:29, GET, /, HTTP/1.1, 303, 0.001112
::1, 2017-05-22 18:00:29, GET, /welcome/default/index, HTTP/1.1, 200, 0.023076
::1, 2017-05-22 18:00:29, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000474
::1, 2017-05-22 18:00:29, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.000362
::1, 2017-05-22 18:00:29, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.000350
::1, 2017-05-22 18:00:29, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.000307
::1, 2017-05-22 18:00:29, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.003411
::1, 2017-05-22 18:00:29, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.004411
::1, 2017-05-22 18:00:29, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000429
::1, 2017-05-22 18:00:29, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000412
::1, 2017-05-22 18:00:29, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.000429
::1, 2017-05-22 18:00:29, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000386
::1, 2017-05-22 18:00:29, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.000355
::1, 2017-05-22 18:00:29, GET, /welcome/static/images/background.jpg, HTTP/1.1, 200, 0.000342
::1, 2017-05-22 18:00:29, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.000595
::1, 2017-05-22 18:00:29, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.000439
::1, 2017-05-22 18:00:29, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000431
::1, 2017-05-22 18:00:29, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000434
::1, 2017-05-22 18:00:33, GET, /welcome/default/user/register, HTTP/1.1, 200, 0.040985
::1, 2017-05-22 18:00:35, GET, /welcome/default/user/login, HTTP/1.1, 200, 0.035536
::1, 2017-05-22 18:00:41, POST, /welcome/default/user/login, HTTP/1.1, 303, 0.041105
::1, 2017-05-22 18:00:41, GET, /welcome/default/user/login, HTTP/1.1, 200, 0.033374
::1, 2017-05-22 18:00:45, GET, /welcome/default/user/register, HTTP/1.1, 200, 0.036822
::1, 2017-05-22 18:00:49, GET, /welcome/default/user/login, HTTP/1.1, 200, 0.035035
::1, 2017-05-22 18:00:51, GET, /welcome/default/user/request_reset_password, HTTP/1.1, 200, 0.033866
::1, 2017-05-22 18:00:56, POST, /welcome/default/user/request_reset_password, HTTP/1.1, 303, 0.112753
::1, 2017-05-22 18:00:56, GET, /welcome/default/user/login, HTTP/1.1, 200, 0.026396
::1, 2017-05-22 18:01:01, GET, /welcome/default/user/reset_password, HTTP/1.1, 303, 0.017870
::1, 2017-05-22 18:01:01, GET, /welcome/default/user/reset_password, HTTP/1.1, 200, 0.022270
::1, 2017-05-22 18:01:06, POST, /welcome/default/user/reset_password, HTTP/1.1, 303, 0.133833
::1, 2017-05-22 18:01:06, GET, /welcome/default/index, HTTP/1.1, 200, 0.034405
::1, 2017-05-22 18:01:11, GET, /welcome/default/user/profile, HTTP/1.1, 200, 0.036221
::1, 2017-05-22 18:01:13, GET, /welcome/default/index, HTTP/1.1, 200, 0.027195
